Код товара	Группа товара
1019363	Мясо и мясные продукты
1033240	Мясо и мясные продукты
1133878	Мясо и мясные продукты
1133879	Мясо и мясные продукты
1135091	Мясо и мясные продукты
1212607	Мясо и мясные продукты
1110275	Мясо и мясные продукты
1212693	Мясо и мясные продукты
1172948	Мясо и мясные продукты
1217657	Мясо и мясные продукты
1183631	Мясо и мясные продукты
1183630	Мясо и мясные продукты
1202620	Мясо и мясные продукты
1183635	Мясо и мясные продукты
1183632	Мясо и мясные продукты
1195870	Яйца
1203359	Яйца
1031914	Яйца
1119534	Яйца
1204093	Яйца
1207811	Яйца
1108879	Яйца
1207564	Яйца
1136080	Яйца
1108881	Яйца
1195869	Яйца
1184981	Яйца
1136079	Яйца
1105437	Яйца
1094510	Яйца
1126938	Птица
1111279	Птица
1126933	Птица
1111275	Птица
1135331	Птица
1126931	Птица
1126934	Птица
1126937	Птица
1111276	Птица
1111280	Птица
1145891	Птица
1111272	Птица
1111274	Птица
1111278	Птица
1111273	Птица
1111282	Птица
1111277	Птица
1111283	Птица
1111287	Птица
1195449	Птица
1195453	Птица
1203386	Птица
1195990	Птица
1195455	Птица
1203387	Птица
1195456	Птица
1212920	Птица
1195991	Птица
1203384	Птица
1212901	Птица
1203385	Птица
1203381	Птица
1203382	Птица
1203379	Птица
1195450	Птица
1033415	Растительное масло
1035340	Растительное масло
1093517	Растительное масло
1003277	Растительное масло
1033416	Растительное масло
1194569	Растительное масло
1194508	Растительное масло
1099761	Растительное масло
1147532	Растительное масло
1177572	Растительное масло
1004902	Растительное масло
1206497	Растительное масло
1033390	Растительное масло
1033387	Растительное масло
1194568	Растительное масло
1033410	Растительное масло
1218314	Растительное масло
1033392	Растительное масло
1033389	Растительное масло
1095665	Растительное масло
1096325	Растительное масло
1176920	Растительное масло
1110826	Растительное масло
1103922	Растительное масло
1004905	Растительное масло
1179979	Растительное масло
1110827	Растительное масло
1017133	Какао, кофе
1180088	Какао, кофе
1094932	Какао, кофе
1035300	Какао, кофе
1148461	Какао, кофе
1017132	Какао, кофе
1152277	Какао, кофе
1190281	Какао, кофе
1032323	Какао, кофе
1035298	Какао, кофе
1035296	Какао, кофе
1033021	Какао, кофе
1032322	Какао, кофе
1190433	Какао, кофе
1035301	Какао, кофе
1212898	Какао, кофе
1041823	Какао, кофе
1212647	Какао, кофе
1208549	Какао, кофе
1033029	Какао, кофе
1207749	Какао, кофе
1033022	Какао, кофе
1106836	Какао, кофе
1044953	Какао, кофе
1216753	Какао, кофе
1106835	Какао, кофе
1008974	Какао, кофе
1010640	Какао, кофе
1035297	Какао, кофе
1203356	Какао, кофе
1100689	Кулинария
1101687	Кулинария
1002055	Кулинария
1100687	Кулинария
1205989	Кулинария
1205990	Кулинария
1205988	Кулинария
1189705	Кулинария
1205987	Кулинария
1106844	Кулинария
1214823	Кулинария
1133030	Кулинария
1013539	Кулинария
1106846	Кулинария
1002058	Кулинария
1189743	Кулинария
1100681	Кулинария
1102546	Кулинария
1011406	Кулинария
1106843	Кулинария
1013540	Кулинария
1109262	Кулинария
1109264	Кулинария
1214822	Кулинария
1034890	Кулинария
1100685	Кулинария
1205994	Кулинария
1205991	Кулинария
1106848	Кулинария
1140252	Кулинария
1031560	Зернопродукты
1004995	Зернопродукты
1111753	Зернопродукты
1123949	Зернопродукты
1082451	Зернопродукты
1095713	Зернопродукты
1031947	Зернопродукты
1053930	Зернопродукты
1031941	Зернопродукты
1123951	Зернопродукты
1123953	Зернопродукты
1045164	Зернопродукты
1191190	Зернопродукты
1108445	Зернопродукты
1098683	Зернопродукты
1005929	Зернопродукты
1201919	Зернопродукты
1174521	Зернопродукты
1104289	Зернопродукты
1002847	Зернопродукты
1181349	Зернопродукты
1028402	Зернопродукты
1028403	Зернопродукты
1158001	Зернопродукты
1028401	Зернопродукты
1155546	Зернопродукты
1045149	Зернопродукты
1188644	Зернопродукты
1151296	Зернопродукты
1108442	Зернопродукты
1109473	Зернопродукты
1102667	Зернопродукты
1171768	Зернопродукты
1010409	Зернопродукты
1035206	Чай
1031641	Чай
1020382	Чай
1001223	Чай
1005631	Чай
1009068	Чай
1031619	Чай
1205318	Чай
1031674	Чай
1096244	Чай
1028806	Чай
1128582	Чай
1031611	Чай
1035049	Чай
1007009	Чай
1001569	Чай
1001219	Чай
1205320	Чай
1211244	Чай
1035048	Чай
1007015	Чай
1018333	Чай
1001567	Чай
1028972	Чай
1211245	Чай
1211243	Чай
1144457	Чай
1029347	Чай
1175944	Чай
1111299	Замороженная продукция
1031303	Замороженная продукция
1002793	Замороженная продукция
1111293	Замороженная продукция
1011482	Замороженная продукция
1031302	Замороженная продукция
1011501	Замороженная продукция
1172323	Замороженная продукция
1183919	Замороженная продукция
1144474	Замороженная продукция
1035292	Замороженная продукция
1002222	Замороженная продукция
1183918	Замороженная продукция
1172325	Замороженная продукция
1203495	Замороженная продукция
1184039	Замороженная продукция
1012438	Замороженная продукция
1174452	Замороженная продукция
1184040	Замороженная продукция
1144704	Замороженная продукция
1145196	Замороженная продукция
1104619	Замороженная продукция
1011040	Замороженная продукция
1118125	Замороженная продукция
1002706	Замороженная продукция
1109795	Замороженная продукция
1206045	Замороженная продукция
1011030	Замороженная продукция
1144703	Замороженная продукция
1111296	Замороженная продукция
1119561	Замороженная продукция
1005676	Соусы
1168028	Соусы
1036425	Соусы
1020070	Соусы
1035324	Соусы
1036426	Соусы
1019604	Соусы
1018209	Соусы
1094291	Соусы
1000716	Соусы
1171693	Соусы
1204350	Соусы
1001386	Соусы
1125478	Соусы
1180349	Соусы
1168915	Соусы
1176186	Соусы
1021548	Соусы
1206118	Соусы
1215673	Соусы
1032454	Соусы
1106554	Соусы
1020069	Соусы
1190134	Соусы
1177754	Соусы
1017184	Соусы
1138156	Соусы
1107224	Соусы
1138155	Соусы
1021557	Соусы
1201795	Соусы
1198316	Соусы
1195344	Закуски
1195346	Закуски
1174978	Закуски
1025978	Закуски
1169319	Закуски
1122562	Закуски
1195345	Закуски
1169320	Закуски
1019889	Закуски
1036414	Закуски
1108545	Закуски
1182208	Закуски
1054022	Закуски
1191649	Закуски
1191648	Закуски
1000766	Закуски
1169316	Закуски
1036418	Закуски
1169619	Закуски
1205308	Закуски
1027725	Закуски
1169322	Закуски
1025977	Закуски
1048843	Закуски
1174784	Закуски
1169324	Закуски
1036413	Закуски
1205297	Закуски
1169317	Закуски
1186768	Закуски
1027720	Закуски
1155575	Закуски
1196638	Закуски
1099402	Приправы и специи
1032033	Приправы и специи
1099407	Приправы и специи
1177824	Приправы и специи
1035115	Приправы и специи
1146275	Приправы и специи
1124721	Приправы и специи
1183431	Приправы и специи
1099399	Приправы и специи
1017811	Приправы и специи
1102169	Приправы и специи
1175960	Приправы и специи
1181552	Приправы и специи
1183430	Приправы и специи
1163531	Приправы и специи
1096121	Приправы и специи
1055760	Приправы и специи
1085617	Приправы и специи
1133254	Приправы и специи
1055767	Приправы и специи
1068656	Приправы и специи
1099398	Приправы и специи
1055763	Приправы и специи
1211158	Приправы и специи
1168529	Приправы и специи
1102170	Приправы и специи
1190436	Приправы и специи
1096122	Приправы и специи
1213586	Приправы и специи
1111491	Приправы и специи
1055768	Приправы и специи
1108020	Колбасные изделия
1129020	Колбасные изделия
1028774	Колбасные изделия
1011640	Колбасные изделия
1098952	Колбасные изделия
1094547	Колбасные изделия
1011634	Колбасные изделия
1099713	Колбасные изделия
1011639	Колбасные изделия
1095455	Колбасные изделия
1095892	Колбасные изделия
1184861	Колбасные изделия
1127313	Колбасные изделия
1191938	Колбасные изделия
1111379	Колбасные изделия
